Cobra,25.63818,25.27384,178.3282,177.70548,162.57711,157.31479,180.28678,186.32888
Cobra,67.9259,85.45054,138.14395,176.49613,150.07002,161.40447,187.75505,184.91807
Cobra,4.7057,17.03645,193.97807,198.05363,9.465,155.33741,46.36051,142.65947
Cobra,2.56696,9.88641,181.67504,186.09411,164.22795,152.71682,111.48525,191.76574
Cobra,23.2512,22.83817,175.75652,194.4479,48.59975,51.08387,151.50238,142.52773
Cobra,30.67825,23.97573,142.42806,122.90434,51.66289,95.17732,100.14679,164.52433
Cobra,22.30395,22.83097,111.69625,118.90764,142.82517,145.17393,178.52785,174.87371
Cobra,17.99652,12.15882,173.92768,169.1176,17.79004,51.92305,4.07858,66.85453
Cobra,14.53548,24.16169,192.70161,196.89006,114.61853,114.97437,164.89032,161.1788
Cobra,13.85248,12.97322,172.01375,173.47097,141.41151,140.97499,155.80482,147.78198
Cobra,8.33305,9.99828,180.93618,189.293,96.25686,74.51862,131.10283,188.41628
Cobra,16.11078,10.40745,163.40342,169.77258,149.86318,147.70453,197.71625,196.16473
Cobra,29.90769,30.02,180.90093,179.78735,157.42234,161.81142,168.43685,170.0762
Cobra,16.18699,12.70916,192.02394,186.00431,120.78064,121.43178,169.7481,164.09664
Cobra,62.54521,58.89688,17.98484,21.60896,145.38061,148.61818,166.28079,168.2894
Cobra,4.98949,8.82363,147.49495,148.48308,143.88921,141.37977,170.36256,176.2489
Cobra,1.934,3.50208,5.79042,88.95242,108.51428,115.44927,45.32719,71.74651
Cobra,2.74107,6.91835,94.46187,88.0939,172.89339,168.29204,191.66358,176.98438
Cobra,7.85631,11.48216,99.983,94.83343,162.60989,137.26292,169.33,174.03521
Cobra,8.25511,5.15067,165.27007,164.63591,132.87365,130.41192,164.40036,166.5827
Cobra,21.86588,9.92636,198.15034,177.38823,167.21716,151.05197,158.49468,138.36932
Cobra,4.22549,7.86593,193.30934,189.27977,42.27904,24.65313,92.47676,16.41934
Cobra,34.69391,34.35466,196.03214,194.36924,132.11563,135.61565,173.18504,171.18687
Cobra,32.366,27.90579,199.37893,197.39572,23.38794,48.26455,176.42122,194.05107
Cobra,11.57758,12.45591,151.10181,136.82591,143.06391,145.50249,198.3184,172.61634
Cobra,31.78773,32.53439,141.34452,134.11478,140.53173,139.30044,195.30568,175.66951
Cobra,16.41243,17.93813,175.28141,176.03269,152.85558,152.18808,182.62883,184.88572
Cobra,19.8491,19.04205,190.99015,189.59402,129.04814,128.75206,169.05223,172.82406
Cobra,3.37431,5.69657,169.71784,172.95761,116.81121,111.6608,161.14178,192.2818
