Cobra,8.0191,4.79425,153.93274,142.10419,122.97457,124.22521,170.49025,165.01964
WarriorII,98.57816,84.57546,172.71366,167.60448,100.42109,144.27339,111.14634,172.4303
DownDog,169.85176,166.94317,172.9461,168.72256,47.17155,45.9781,179.13111,178.03683
Chair,170.9008,168.49341,168.75209,166.47359,128.21184,127.42096,143.55099,140.59207
Tree,10.95475,15.08657,28.13875,28.80628,129.95217,178.40344,46.07454,178.07962
Neutral,40.50407,18.58808,10.78455,164.96146,172.57595,169.32033,176.94879,178.26653
